,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_83,M_84,M_85,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100,M_101,M_102,M_103,M_105,M_106,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_124,M_125,M_126,M_127,M_128,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140,M_141,M_142,M_143,M_144,M_145,M_146,M_147,M_148,M_149,M_150,M_151,M_152,M_153,M_154,M_155,M_156,M_157,M_158,M_159,M_160,M_161,M_162,M_163,M_164,M_165,M_166,M_167,M_168,M_169,M_170,M_171
s_016um_00243_00186-1,0.0032955408,0.002176255,0.00027015805,1.283735e-05,0.0018794686,0.0050881654,4.1041523e-05,0.0001944527,0.0031602234,0.005824119,2.9295683e-05,-9.706244e-06,0.0033014715,0.00996086,0.002199933,-1.3364479e-07,0.005483955,4.1071326e-07,2.2776425e-05,9.573996e-07,0.0150028765,0.00838685,0.00011102855,0.00051645935,-7.1618706e-07,2.803281e-05,-0.0002297163,0.0015679449,0.02261573,0.016231537,0.00035583228,0.013930589,0.011422992,0.011971176,-2.3059547e-05,-4.3120235e-07,-2.6322901e-05,-1.036562e-06,0.002888292,-3.138557e-07,-2.9802322e-08,0.013999015,0.00011277944,0.02035433,0.00013974309,0.008666664,0.00042286515,0.0001719445,-0.00024019182,2.3059547e-06,0.0149997175,0.00011064112,4.1909516e-07,3.216788e-05,0.01911652,0.00040798634,0.001350075,0.011692524,0.00234285,-3.1199306e-08,0.0002558604,0.00757277,0.017646223,0.014769584,0.013240844,2.8144568e-05,0.02437362,4.8484653e-05,0.00023638457,0.02276355,4.6268106e-06,2.803281e-06,1.8812716e-07,0.001878053,0.0047784895,7.0147216e-06,3.6727637e-05,-3.4924597e-10,0.032407194,0.00016587973,0.00065872073,8.414686e-05,0.004169628,0.025294125,0.00010097772,0.010474384,0.0056111217,0.003586322,0.00010077655,-2.8248876e-05,-1.1101365e-05,0.004019588,0.0038009733,0.0075285137,-0.0001417175,0.0050326586,0.0090819,0.0011325479,4.1443855e-08,0.0147357285,2.1278858e-05,0.005428642,0.009537905,0.0060653985,0.0067194104,0.008286506,0.028610706,0.004443124,0.000262253,0.0006572157,0.018847138,0.007193595,0.009886205,6.9476664e-07,-2.0116568e-07,0.002461508,0.015920758,-3.2093376e-06,0.027736396,3.549829e-05,0.004608944,6.2428415e-05,1.2092292e-05,-0.00014679879,8.098781e-06,4.0035695e-05,0.02150026,-0.00012810528,7.370114e-05,-5.122274e-09,0.0041634142,0.015925914,0.006007582,0.021621972,-3.3207238e-05,0.026951581,0.045884192,0.003433168,0.037451565,3.4276396e-05,0.013221353,0.0008673221,-4.4796616e-07,0.0037440509,0.029795557,0.030340135,0.032280624,1.5620142e-05,0.025453866,-9.540468e-06,0.00044543296,0.00064843893,0.0011351407,2.3599714e-06,1.4014542e-05,0.029980421,2.3245811e-06,0.00013585389,0.0005524531,1.8239021e-05,0.00022289902,0.008660585,0.00014515221,5.820766e-11,0.003383249,5.4202974e-07,0.0047800243,0.014793277
s_016um_00239_00290-1,0.0032586902,0.002135694,0.00033083558,1.46999955e-05,0.0018349588,0.0050340295,3.9830804e-05,0.000119529665,0.0031310916,0.0057175457,2.290681e-05,-1.2297183e-05,0.003305927,0.009960949,0.0022015423,-1.2340024e-07,0.0054840147,0.0,4.893169e-06,9.573996e-07,0.014994085,0.0047905594,0.00011102855,0.0005077049,-5.6345016e-07,2.0038337e-05,-0.00021725893,0.00075274706,0.022360176,0.016067863,0.00033178926,0.013988316,0.012858599,0.010218829,-0.00012101978,2.561137e-09,-2.6460737e-05,-1.036562e-06,0.0028524399,-6.631017e-07,-4.1909516e-08,0.013497055,0.00011314452,0.020336032,2.8830022e-05,0.008515805,0.00031694025,0.00015817583,-0.00024008751,3.0621886e-06,0.015042812,0.000111080706,4.0233135e-07,2.1439046e-06,0.018923491,0.00037761778,0.0013430566,0.011135459,0.0023428947,-3.3527613e-08,0.00014366955,0.00757277,0.017646223,0.014767736,0.013241947,1.963228e-05,0.02441293,1.3008714e-05,0.00022928417,0.022540241,4.9415976e-06,4.9360096e-08,-3.17581e-06,0.0018791854,0.00477767,5.9124082e-05,3.6727637e-05,2.910383e-10,0.03322825,0.00070139766,0.00065873563,8.414686e-05,0.004444748,0.025294125,4.6111643e-05,0.010466009,0.0056095123,0.0035857707,9.863824e-05,-4.5597553e-06,-1.1101365e-05,0.0040670633,0.003804922,0.0075285137,-0.0001417175,0.0050404966,0.009018302,0.0010183454,9.406358e-08,0.014671385,2.1278858e-05,0.005420029,0.009532899,0.0064695776,0.006794691,0.008198917,0.028610677,0.0044633746,0.00012785196,0.0004988164,0.01885292,0.007493794,0.009554386,1.2451783e-06,-5.9232116e-06,0.0051722825,0.016043246,1.46683306e-08,0.027234882,0.00013770163,0.004608944,5.9809536e-05,1.2092292e-05,-0.00014164299,8.098781e-06,0.00011778623,0.02140683,-0.0001398772,6.219745e-05,-2.719462e-07,0.0041444153,0.015621036,0.0050269216,0.022037208,-5.253032e-05,0.026841044,0.041103065,0.0034304261,0.037423402,3.189966e-05,0.013221085,0.00082957745,-4.498288e-07,0.0037440509,0.027759284,0.03000763,0.032280207,1.5579164e-05,0.024576664,-9.840354e-06,0.00044608116,0.00015019625,0.0008149147,3.585592e-07,1.5396625e-05,0.030041993,2.4657696e-05,0.0001283437,0.00052779913,1.8239021e-05,0.00020211935,0.007910192,8.043274e-05,-3.6414713e-07,0.0018622428,2.4586916e-07,0.004770145,0.015114993
s_016um_00106_00008-1,0.00330998,0.0022194237,2.4158508e-05,1.0270625e-05,0.0019254833,0.0050497055,3.9998442e-05,0.00012634695,0.0031303167,0.0058065653,2.5238842e-05,-2.7287751e-07,0.0033118874,0.00996086,0.0021984577,-1.3457611e-07,0.0054838657,2.9802322e-08,4.031509e-05,9.573996e-07,0.014993191,0.0011839271,0.00011102855,0.00049810857,-4.461035e-07,2.98433e-05,-0.00023078173,0.0033464879,0.022646874,0.016468734,0.0003797412,0.014053047,0.0066830814,0.011836082,-0.000116571784,1.6760081e-05,-2.6278198e-05,-1.036562e-06,0.0029008538,1.6298145e-09,-4.5169145e-08,0.014335424,0.00011279434,0.0204871,1.6923994e-05,0.00837636,0.0004035011,0.00017262995,-0.00024019182,2.1003187e-05,0.015086323,0.00011063367,4.4237822e-07,3.6753714e-05,0.018769145,0.000388965,0.0013637394,0.008952886,0.00234285,-3.0733645e-08,0.0003174767,0.0075725317,0.017646223,0.014767736,0.0132422745,1.5445054e-05,0.024455607,0.00020407885,0.00025556982,0.023290426,5.5655837e-06,-1.5217811e-06,-1.8142164e-06,0.0018789917,0.0047847033,0.00042247027,3.6727637e-05,-4.656613e-09,0.033499807,0.000487037,0.00065872073,8.414686e-05,0.004518479,0.025294125,0.0006560683,0.010691136,0.0056120753,0.0035863817,9.328127e-05,-7.1562827e-06,-1.110509e-05,0.0040423125,0.0038039088,0.0075285137,-0.0001417175,0.005026117,0.00904724,0.0010990947,1.8440187e-07,0.014693677,2.1278858e-05,0.005402848,0.009533972,0.0062027574,0.006694168,0.0079446435,0.028610706,0.004420489,8.8602304e-05,0.00053275377,0.018863976,0.0071805716,0.008760184,0.0,0.0,0.0014041215,0.015095472,-2.4028122e-06,0.027048886,8.741394e-06,0.004608944,9.43318e-05,1.2151897e-05,-0.0001469031,8.098781e-06,4.1112304e-05,0.021424234,-0.00013706088,6.245822e-05,2.6077032e-08,0.0043189824,0.015857667,0.0063175857,0.022079825,-3.643334e-05,0.027303398,0.04485467,0.0034423172,0.037498087,3.2890588e-05,0.013221085,0.000840649,-4.498288e-07,0.0037440509,0.028577894,0.03017971,0.032280624,1.5620142e-05,0.02412343,-1.1418015e-05,0.0004451573,0.00033703446,0.0008084327,1.4975667e-06,1.2855977e-05,0.029802144,2.6825815e-05,0.00013842434,0.0005346164,1.8239021e-05,0.00021515787,0.009010255,0.00013599545,4.2915344e-06,0.0012716204,1.8533319e-07,0.0047674775,0.015141785
s_016um_00143_00168-1,0.003450796,0.0021383017,0.00017317384,1.1831522e-05,0.0018265992,0.0050844997,4.0303916e-05,0.0002548024,0.0030893385,0.0057864487,3.438443e-05,6.100163e-08,0.0033037663,0.00996086,0.002202779,-1.4342368e-07,0.0054847,2.561137e-08,3.168732e-05,9.573996e-07,0.014994651,0.003262505,0.00011102855,0.00047088414,-4.0512532e-08,2.2027642e-05,-0.00024150312,0.0016554147,0.022005618,0.015768826,0.00031409413,0.013738573,0.01857379,0.011507332,-5.3357333e-05,-6.6589564e-08,-2.6412308e-05,-1.036562e-06,0.0028219372,-3.669411e-07,-4.0512532e-08,0.013769865,0.00011322647,0.020481586,3.0040741e-05,0.00823018,0.00018910319,0.00020334125,-0.00024019182,7.5809658e-06,0.01498419,0.00011063367,4.2375177e-07,2.6043504e-05,0.018617272,0.00038257986,0.0013703108,0.010170907,0.00234285,-4.0512532e-08,0.00020353496,0.0075725913,0.017646223,0.014768273,0.013240129,1.9907951e-05,0.024514943,8.6165965e-05,0.00022953004,0.022371888,5.3197145e-06,-4.1238964e-06,-2.2072345e-07,0.0018765479,0.004776433,-2.618879e-06,3.6727637e-05,-1.2572855e-08,0.032648712,0.0002059415,0.00065872073,8.414686e-05,0.0041178316,0.025294125,0.00035852194,0.010463804,0.0056108832,0.0036258698,9.6865e-05,-3.447756e-05,-1.1101365e-05,0.004006639,0.0037897676,0.0075285137,-0.0001417175,0.0050231367,0.009044677,0.0011168867,5.5413693e-08,0.014684379,2.1278858e-05,0.005455166,0.0095599,0.0068151653,0.0066951215,0.008087724,0.028610736,0.0044245124,5.812943e-05,0.00077810884,0.018868119,0.0072015226,0.009209514,2.2118911e-09,-1.1410564e-05,0.0071445405,0.015473455,9.40077e-06,0.027796745,3.2734126e-05,0.004608944,0.00045809895,1.2103468e-05,-0.00014580786,8.098781e-06,3.0882657e-05,0.021471739,-0.00013337284,6.15567e-05,2.682209e-07,0.0042633116,0.015957922,0.0066399276,0.022171646,-4.3816864e-05,0.026313365,0.042117715,0.0034318417,0.037442803,2.9932708e-05,0.013221443,0.0008158684,-4.4703484e-07,0.0037440509,0.027520657,0.029987812,0.032280624,1.5620142e-05,0.024490505,-1.0162592e-05,0.0004454404,0.000626117,0.00072064996,1.8086284e-06,1.1444092e-05,0.029758126,3.3196062e-05,0.0001386404,0.0005092174,1.8239021e-05,0.00020236522,0.009242803,9.405613e-05,1.19283795e-05,0.0014850795,2.2631139e-07,0.0047667623,0.015119821
s_016um_00212_00096-1,0.0033955276,0.002165109,9.313971e-05,1.1742115e-05,0.0018316358,0.005062759,4.0668994e-05,0.00028707832,0.0030470937,0.0059112012,3.2443553e-05,-1.0514632e-06,0.0033025295,0.00996086,0.002201125,-1.2340024e-07,0.0054840147,-1.1641532e-10,6.131828e-06,9.573996e-07,0.014988244,0.0029132366,0.00011101365,0.0004402697,1.7462298e-09,1.4845282e-05,-0.00021763146,0.00064359605,0.021545768,0.015447408,0.00033523142,0.013567716,0.009800315,0.013504118,-5.77271e-05,-4.582107e-07,-2.6430935e-05,-1.036562e-06,0.0034035146,-5.951151e-07,-4.749745e-08,0.01412648,0.00011309981,0.02047363,9.469688e-05,0.008837491,0.00078366697,0.00021687895,-0.00024018437,5.4445118e-06,0.015013784,0.00011063367,4.163012e-07,2.4143606e-05,0.01887101,0.00039297342,0.0013503283,0.009433091,0.00234285,-3.585592e-08,0.00026904047,0.007573068,0.017646223,0.0147672,0.013256878,1.5810132e-05,0.024398297,4.3340027e-05,0.00024523586,0.022921056,6.9681555e-06,-6.1821193e-06,-2.913177e-06,0.0018763095,0.0047753304,-2.2087246e-05,3.6727637e-05,2.5425106e-07,0.03289908,0.00041656196,0.00065872073,8.414686e-05,0.0044960976,0.025294125,0.00022783875,0.0104730725,0.0056236684,0.0035848022,9.236485e-05,-5.2154064e-05,-1.1101365e-05,0.004044175,0.003803879,0.0075285137,-0.0001417175,0.0050296485,0.0090376735,0.0011345297,1.6530976e-08,0.014626294,2.1278858e-05,0.0054425597,0.009554893,0.006515205,0.0066717565,0.0077237785,0.028610885,0.004416898,0.00017383695,0.00066657364,0.018879116,0.0073655844,0.008528858,-7.310882e-08,1.597032e-05,0.0029146522,0.016688168,-5.7499856e-06,0.0277569,3.331527e-05,0.004608944,0.00023377687,1.2092292e-05,-0.00014591217,8.098781e-06,7.914379e-05,0.021683753,-0.00013703108,5.6948513e-05,1.26212835e-05,0.0047115684,0.016039878,0.008661747,0.021842897,-2.5454909e-05,0.027458608,0.048980236,0.0034940988,0.037906945,4.0512532e-05,0.013221055,0.0009023845,-4.498288e-07,0.0037440509,0.031673014,0.030790478,0.032283366,1.5884638e-05,0.025336504,-8.482486e-06,0.00044516474,0.0019315481,0.0015760064,1.7918646e-06,1.2714416e-05,0.029851943,3.920868e-05,0.00015392154,0.0005045831,1.8239021e-05,0.00019779056,0.010874599,7.184595e-05,1.2526289e-07,0.0023782998,2.5890768e-07,0.004790619,0.01517725
s_016um_00202_00285-1,0.0031647533,0.0021829605,0.000111564994,1.1395663e-05,0.0018836111,0.0050359666,3.9726496e-05,6.146729e-05,0.0030952543,0.0056527555,2.354011e-05,-1.983717e-05,0.0032999665,0.00996086,0.002200693,-1.4249235e-07,0.005484104,2.561137e-08,5.6810677e-08,9.573996e-07,0.01497978,0.0039149076,0.00011104345,0.0006086454,-2.1085143e-06,7.326156e-05,-0.00023961067,0.0007355064,0.022193968,0.015366703,0.0003362596,0.013937801,0.008925766,0.010922968,-0.00014135987,-1.4808029e-07,-2.5242567e-05,-1.036562e-06,0.0030147731,-3.9488077e-07,-3.632158e-08,0.013544828,0.00011279434,0.0204086,4.3660402e-05,0.008024812,0.0006304607,0.00010751188,-0.00024019182,3.3415854e-06,0.015020162,0.00011063367,4.9732625e-07,8.260831e-06,0.018508762,0.00039085,0.0012857616,0.010760486,0.00234285,-3.958121e-08,0.00018183142,0.007573247,0.017646223,0.014769256,0.013240516,3.6027282e-05,0.024518073,8.421391e-05,0.00023388118,0.022574127,5.03473e-06,-1.0833144e-05,-1.816079e-08,0.001880154,0.004775092,2.682954e-05,3.6727637e-05,-2.3283064e-10,0.033513367,0.0010253191,0.00065876544,8.414686e-05,0.004575312,0.025294155,7.748604e-05,0.01047653,0.005609125,0.003587246,0.00011409819,1.4103949e-05,-1.058355e-05,0.004119098,0.0038208067,0.0075285137,-0.0001417175,0.0050293207,0.009072453,0.0010109842,1.1157244e-06,0.014937669,2.1278858e-05,0.00540632,0.009529948,0.005541563,0.0066638887,0.009383082,0.028610677,0.004459664,0.00038975477,0.00055932254,0.018846959,0.0075965524,0.00837037,2.745539e-06,-4.8987567e-05,0.0017406046,0.015542388,-6.6570938e-06,0.027152896,9.5553696e-05,0.004608944,0.0001848042,1.2069941e-05,-0.00014743954,8.098781e-06,7.677451e-05,0.02135685,-0.00013884157,4.2125583e-05,-2.4028122e-07,0.004141599,0.015696883,0.005887091,0.02090159,-5.3800642e-05,0.026508242,0.038627267,0.0034320056,0.037432402,3.1635165e-05,0.013221115,0.0008468628,-4.498288e-07,0.0037440509,0.029747456,0.030406237,0.032285333,1.6074628e-05,0.025187999,-1.1328608e-05,0.0004460141,7.1555376e-05,0.0009505749,4.488975e-06,9.66154e-06,0.029776067,1.7099082e-06,0.0001129061,0.0005052313,1.8239021e-05,0.00020509958,0.0076729953,0.00014805794,0.0002604723,0.0016220659,2.5518239e-07,0.004775986,0.014640391
s_016um_00120_00270-1,0.0033976436,0.0021786243,0.00028475374,1.4577061e-05,0.001911506,0.005118966,4.265085e-05,0.00027952343,0.0032714307,0.0058149695,3.3304095e-05,1.8719584e-07,0.003316149,0.009960979,0.0021985024,-1.2060627e-07,0.005484402,-4.5634806e-08,3.2410026e-05,9.573996e-07,0.014992565,0.002603978,0.0001110211,0.00045205653,-1.0244548e-08,1.5828758e-05,-0.00021333247,0.0002785772,0.021552652,0.015756428,0.00034407526,0.013857812,0.010841697,0.012458563,-1.399219e-05,-5.5879354e-08,-2.6348978e-05,-1.036562e-06,0.0032214224,-4.498288e-07,-4.6100467e-08,0.01458931,0.00011456758,0.020436347,0.00012109429,0.008550495,0.00026737154,0.00012698025,-0.00024017692,2.7995557e-06,0.014988571,0.00011063367,4.6100467e-07,2.1155924e-05,0.018611431,0.00040143728,0.001383096,0.00998342,0.00234285,-2.514571e-08,0.00021976978,0.007572502,0.017646223,0.014767408,0.0132395625,4.786998e-05,0.02445817,0.0001410842,0.0002635792,0.023274213,5.343929e-06,-6.5732747e-06,-1.1641532e-10,0.0018773228,0.0047765374,1.0477379e-09,3.6727637e-05,9.573996e-07,0.03302914,0.00027094036,0.00065872073,8.414686e-05,0.00399746,0.025294125,0.0001725629,0.01047039,0.0056149065,0.0035846531,9.49502e-05,8.577481e-07,-1.109764e-05,0.003995329,0.0037835538,0.0075285137,-0.0001417175,0.005030602,0.009148657,0.0011255145,1.1874363e-08,0.014570236,2.1278858e-05,0.005412966,0.00953871,0.006328881,0.0066820085,0.007582575,0.02861464,0.004432127,6.4082444e-05,0.0007839948,0.018865645,0.00723958,0.0090177655,0.0,-5.820766e-11,0.0035931468,0.015669018,4.656613e-09,0.028142452,1.0900199e-05,0.004608944,0.00018669665,1.2110919e-05,-0.0001430735,8.098781e-06,5.5380166e-05,0.021586984,-0.00012680888,8.355826e-05,2.745539e-06,0.0042869747,0.016063511,0.0070209205,0.02312383,-2.208352e-05,0.027576834,0.048263103,0.0034437776,0.037557214,3.5274774e-05,0.013221204,0.0008675009,-4.4889748e-07,0.0037440509,0.029380918,0.030370265,0.032280862,1.5642494e-05,0.02514252,-4.025176e-06,0.0004452318,0.0020368397,0.0019105375,1.3615936e-06,1.8943101e-05,0.029985696,6.794557e-05,0.00015134364,0.0005461946,1.8239021e-05,0.00021713227,0.010930419,5.105138e-05,1.2470409e-06,0.005362883,3.008172e-07,0.004775554,0.015437484
s_016um_00369_00170-1,0.003308192,0.0020040423,6.784126e-05,1.3388693e-05,0.0018559098,0.0050399303,4.4465065e-05,0.00022537261,0.0033653677,0.005521655,1.8119812e-05,-9.122491e-05,0.0033005476,0.00996086,0.002196923,-6.100163e-08,0.005486846,3.9115548e-08,-1.094304e-08,9.573996e-07,0.014994442,0.00023319572,0.0001110062,0.00044591725,-3.931299e-05,9.272248e-06,-0.00013251603,0.0022467375,0.020932645,0.014767319,0.00019731373,0.014757961,0.00029477477,0.0067828894,-0.0004891902,5.0198287e-07,-1.6730279e-05,-1.036562e-06,0.002043441,-1.0281801e-06,1.7462298e-10,0.012583613,0.00011329353,0.020354092,-7.059425e-07,0.0077182055,1.0829419e-05,0.000325948,-0.00020819157,8.447096e-07,0.014936209,0.000110670924,4.367903e-07,-2.2444874e-07,0.017690599,0.00030814856,0.0011754185,0.007523656,0.0023428947,-4.4237822e-08,0.000116065145,0.007572949,0.017646313,0.014768332,0.01324144,6.5471977e-06,0.024295092,9.5460564e-08,0.00021172315,0.021980584,4.336238e-06,-1.9229949e-05,-1.3213605e-05,0.0018741488,0.0047843903,-0.0003227666,3.6727637e-05,2.8233975e-05,0.033819973,3.5945326e-05,0.00065872073,8.414686e-05,0.003762424,0.025294125,2.8450042e-05,0.010452688,0.0056295693,0.0036079288,9.49353e-05,-8.364022e-05,-9.389594e-06,0.0039506853,0.0037679374,0.0075285137,-0.0001417175,0.005043447,0.009019285,0.00091056526,2.0954758e-09,0.014605045,2.1278858e-05,0.005409926,0.009550899,0.0042825937,0.0067617893,0.0076167285,0.028610677,0.0043960214,-2.9802322e-08,0.0005801767,0.018835813,0.0070661604,0.008883148,-3.9171427e-06,-4.2054802e-05,0.0018253922,0.014362484,0.0003342256,0.0329189,-6.0416758e-05,0.004608944,0.0008236915,1.2122095e-05,-0.00014282018,8.098781e-06,8.884817e-06,0.02211684,-4.1183084e-06,6.137416e-05,-2.573058e-05,0.004106134,0.015329093,0.003662929,0.0216586,-4.6223402e-05,0.026026726,0.04220584,0.003429085,0.037448496,3.1281263e-05,0.013221204,0.000772655,-4.4889748e-07,0.0037440509,0.026135087,0.029920936,0.03227973,1.553446e-05,0.02295813,-2.4560839e-05,0.00044540316,6.2245876e-05,0.00013922155,7.6461583e-07,7.517636e-06,0.02978313,-5.343929e-06,0.00011751056,0.00049874187,1.8239021e-05,0.00018115342,0.008581251,3.2592565e-05,-0.00069640577,0.00013076514,2.7939677e-09,0.004769683,0.014420569
s_016um_00367_00120-1,0.0032149404,0.002123922,9.395927e-05,1.128763e-05,0.0018731803,0.0050685555,4.0058047e-05,0.00014726818,0.0030531734,0.005788982,2.3912638e-05,9.546056e-09,0.0033182055,0.009961158,0.0021992177,-1.3131648e-07,0.005483985,-8.381903e-08,1.7825514e-05,9.573996e-07,0.014995396,0.0026686639,0.00011102855,0.00045420974,-1.5832484e-07,1.5292317e-05,-0.00022675097,0.0010161996,0.02221781,0.015853435,0.000353083,0.014051974,0.0070531666,0.012351602,-4.8957765e-05,-2.1122396e-06,-2.6393682e-05,-1.0356307e-06,0.0029687583,-1.06636435e-07,-1.7462298e-08,0.01430881,0.00011327118,0.020515501,0.00014602393,0.008425921,0.0010787398,0.00022223592,-0.00024019182,1.30571425e-05,0.0150155425,0.00011063367,4.582107e-07,6.119907e-05,0.019053131,0.000395149,0.001367271,0.010298222,0.00234285,-3.8649887e-08,0.00024797767,0.007572621,0.017646223,0.014773279,0.013242632,1.6011298e-05,0.024626315,0.00014828146,0.00023896247,0.022644728,6.504357e-06,-1.7601997e-06,3.3993274e-08,0.0018780231,0.0047821254,8.3588064e-05,3.6727637e-05,-1.2572855e-08,0.033736914,0.00077804923,0.00065875053,8.414686e-05,0.0043683797,0.025294125,0.00014042854,0.010550737,0.005609691,0.0035863072,9.788573e-05,-7.431954e-07,-1.1101365e-05,0.0040763766,0.0038024932,0.0075285137,-0.0001417175,0.0050375015,0.009073645,0.0010959506,1.06636435e-07,0.014760613,2.1278858e-05,0.0054343045,0.009535253,0.006194681,0.006734878,0.008367956,0.028610706,0.004359469,3.766641e-05,0.00058118254,0.018869847,0.0071932673,0.008870065,1.9852072e-05,-3.496185e-06,0.0025689453,0.015608251,-1.8551946e-06,0.026890308,0.00014275312,0.004608944,0.000116467476,1.2088567e-05,-0.0001475066,8.098781e-06,7.817149e-05,0.021378696,-0.00013764203,6.298721e-05,1.10361725e-07,0.0042456985,0.01589173,0.006881833,0.021794856,-3.366545e-05,0.026684254,0.045120716,0.0034320652,0.03743431,3.1430274e-05,0.013221115,0.00082576275,-4.498288e-07,0.0037440509,0.028136581,0.030108064,0.032283008,1.585111e-05,0.026253402,-8.059666e-06,0.00044563413,0.00048616529,0.0013989955,1.8458813e-06,1.4800578e-05,0.029906273,6.319955e-05,0.00014624745,0.00052114576,1.8239021e-05,0.00020676851,0.009387612,0.00013619661,5.3197145e-06,0.0021157116,3.17581e-07,0.0047695786,0.015336335
s_016um_00262_00286-1,0.0034404695,0.0021766573,0.00015047193,9.961426e-06,0.0017644912,0.0050749183,3.9979815e-05,0.00030266494,0.0031166375,0.0058766305,2.6881695e-05,1.0956079e-05,0.003305763,0.00996086,0.0021999627,-1.4528632e-07,0.0054845214,9.275973e-07,6.6287816e-05,9.573996e-07,0.0150028765,0.0077289343,0.00011101365,0.00045277923,-2.9429793e-07,1.9520521e-05,-0.00024341047,0.0012936294,0.022153974,0.01603353,0.00036277622,0.013678044,0.007632315,0.010500282,-1.4040619e-05,6.6161156e-05,-2.6408583e-05,-1.036562e-06,0.0027191788,-4.0512532e-07,-1.7462298e-10,0.01388368,0.00011319667,0.020447165,0.0001277551,0.008136451,0.00010753423,0.00016472489,-0.00024019182,2.168119e-06,0.014970392,0.00011063367,4.4796616e-07,3.2830983e-05,0.018634021,0.00040511042,0.0013288707,0.011527419,0.00234285,-3.0267984e-08,0.0002637878,0.0075731575,0.017646313,0.014781237,0.013240337,1.3828278e-05,0.024710834,0.00030627102,0.00023575872,0.022725195,4.896894e-06,-3.2521784e-06,-4.3492764e-06,0.0018785894,0.004775077,1.2908131e-06,3.6727637e-05,3.7122518e-06,0.032301158,3.6492944e-05,0.00065872073,8.414686e-05,0.0040317476,0.025294125,0.00011225045,0.01046589,0.005625665,0.0035842657,0.00010076165,-2.9966235e-05,-1.0553747e-05,0.003970295,0.0037754327,0.0075285137,-0.0001417175,0.0050220788,0.009092838,0.0011785775,7.683411e-09,0.014628947,2.1278858e-05,0.005420089,0.009548992,0.0071421266,0.0066903234,0.007773429,0.028610766,0.0046069473,9.5348805e-06,0.00084263086,0.018855602,0.007175058,0.009113431,-4.656613e-10,-1.1824071e-05,0.010857433,0.01665032,1.7292798e-05,0.027355015,1.02669e-05,0.004608944,4.3753535e-05,1.2114644e-05,-0.00014689565,8.098781e-06,3.0327588e-05,0.02150336,-0.00013799965,8.3729625e-05,8.6613e-08,0.0042554736,0.01588884,0.006623149,0.022108406,-3.4276396e-05,0.026915997,0.047742933,0.003436029,0.037528604,3.587827e-05,0.013221502,0.0008581579,-4.4703484e-07,0.0037440509,0.029169738,0.030249298,0.032280415,1.5601516e-05,0.024770916,-8.042902e-06,0.0004451871,0.0014005452,0.0010788143,3.553927e-06,1.34296715e-05,0.029991478,1.2792647e-05,0.00013768673,0.0005367547,1.8239021e-05,0.00021626055,0.00896886,8.142367e-05,-5.3215772e-05,0.0014075637,2.9150397e-07,0.004780352,0.014900088
