epoch: 73, loss1: 93.02132416, loss2: 8.29588509, loss3: 326.57641602, loss4: 37.31104660, loss: 465.20465088. 
epoch: 74, loss1: 89.56314850, loss2: 8.00182724, loss3: 323.82614136, loss4: 37.25421906, loss: 458.64532471. 
epoch: 75, loss1: 85.63455963, loss2: 7.72532749, loss3: 321.19812012, loss4: 37.20084000, loss: 451.75885010. 
epoch: 76, loss1: 81.68196106, loss2: 7.46461773, loss3: 319.02740479, loss4: 37.14464951, loss: 445.31863403. 
epoch: 77, loss1: 78.08697510, loss2: 7.21816969, loss3: 317.40942383, loss4: 37.07691956, loss: 439.79150391. 
epoch: 78, loss1: 75.11095428, loss2: 6.98434830, loss3: 315.84707642, loss4: 36.99003601, loss: 434.93243408. 
epoch: 79, loss1: 72.78866577, loss2: 6.76212788, loss3: 313.82940674, loss4: 36.87944794, loss: 430.25964355. 
epoch: 80, loss1: 71.07850647, loss2: 6.55064201, loss3: 311.23501587, loss4: 36.74151611, loss: 425.60568237. 
epoch: 81, loss1: 69.91548920, loss2: 6.34916592, loss3: 308.17944336, loss4: 36.57339096, loss: 421.01748657. 
epoch: 82, loss1: 69.17559814, loss2: 6.15704918, loss3: 305.12573242, loss4: 36.37648773, loss: 416.83486938. 
epoch: 83, loss1: 68.61649323, loss2: 5.97386026, loss3: 302.43640137, loss4: 36.16879272, loss: 413.19555664. 
epoch: 84, loss1: 67.89955139, loss2: 5.79912472, loss3: 299.74386597, loss4: 35.98696899, loss: 409.42950439. 
epoch: 85, loss1: 66.82209778, loss2: 5.63218212, loss3: 296.73620605, loss4: 35.85112000, loss: 405.04162598. 
epoch: 86, loss1: 65.53860474, loss2: 5.47246122, loss3: 293.66683960, loss4: 35.74624252, loss: 400.42416382. 
epoch: 87, loss1: 64.27793884, loss2: 5.31921291, loss3: 290.81518555, loss4: 35.65508652, loss: 396.06744385. 
epoch: 88, loss1: 63.26284409, loss2: 5.17182589, loss3: 288.16891479, loss4: 35.56076813, loss: 392.16433716. 
epoch: 89, loss1: 62.65390015, loss2: 5.02977228, loss3: 285.27944946, loss4: 35.45085144, loss: 388.41400146. 
epoch: 90, loss1: 62.49726868, loss2: 4.89266872, loss3: 282.06390381, loss4: 35.32346725, loss: 384.77731323. 
epoch: 91, loss1: 62.67112350, loss2: 4.76025963, loss3: 278.81011963, loss4: 35.19112015, loss: 381.43264771. 
epoch: 92, loss1: 62.97756958, loss2: 4.63237238, loss3: 275.84197998, loss4: 35.06659698, loss: 378.51849365. 
epoch: 93, loss1: 63.03081512, loss2: 4.50882816, loss3: 273.11203003, loss4: 34.96672058, loss: 375.61840820. 
epoch: 94, loss1: 62.83119583, loss2: 4.38936090, loss3: 270.47399902, loss4: 34.88769150, loss: 372.58224487. 
epoch: 95, loss1: 62.44528961, loss2: 4.27380657, loss3: 268.00228882, loss4: 34.82256699, loss: 369.54394531. 
epoch: 96, loss1: 62.03133011, loss2: 4.16194153, loss3: 265.68634033, loss4: 34.76076508, loss: 366.64038086. 
epoch: 97, loss1: 61.77251434, loss2: 4.05353117, loss3: 263.36755371, loss4: 34.69058990, loss: 363.88418579. 
epoch: 98, loss1: 61.77580261, loss2: 3.94840765, loss3: 260.81723022, loss4: 34.60529327, loss: 361.14672852. 
epoch: 99, loss1: 62.02084351, loss2: 3.84652686, loss3: 258.08575439, loss4: 34.50563431, loss: 358.45877075. 
epoch: 100, loss1: 62.33550644, loss2: 3.74787331, loss3: 255.48831177, loss4: 34.40137100, loss: 355.97305298. 
