pathway,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
Reactome_REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,0.16431335780792136,8.189755016124177e-31,1.993512334275954e-30,0.18260065755957272,0.1664735868977413,1.0968746511825789,5.425712698182267e-30,True,0.16431335780792136
Reactome_REACTOME_PHOSPHOLIPID_METABOLISM,0.16044496368047564,1.9370652489763965e-29,4.343126943390613e-29,0.20982427928060807,0.19475688589876797,1.0773651381429046,1.207817155244106e-28,True,0.16044496368047564
Reactome_REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,0.15277203382950447,8.164282210165863e-27,1.581955381260011e-26,0.3151931835098603,0.2899908796603696,1.0869072292170259,4.807855079319897e-26,True,0.15277203382950447
Reactome_REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.1513809756649606,2.3635191865059713e-26,4.470338797731733e-26,0.3668228638919474,0.33069760240985624,1.1092395627269127,1.3185949145770156e-25,True,0.1513809756649606
Reactome_REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.15040708407835957,4.9450449699768785e-26,9.199786676846173e-26,0.2095231710304026,0.18386965270390143,1.1395201326007445,2.6208738340877454e-25,True,0.15040708407835957
Reactome_REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0.14976604057670262,8.017588659468191e-26,1.4757280098990525e-25,0.2768759851877568,0.2634109905141684,1.0511178164863404,4.0469733233506105e-25,True,0.14976604057670262
Reactome_REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0.14609186093022583,1.2279566818341939e-24,2.1314445031881446e-24,0.26466823111626947,0.23542375577330596,1.124220579384196,5.916518557928388e-24,True,0.14609186093022583
Reactome_REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,0.14400891884493014,5.593041415426839e-24,9.40900877497184e-24,0.2319995136392769,0.2113461863626283,1.0977227345905904,2.5776625653706302e-23,True,0.14400891884493014
Reactome_REACTOME_PI_METABOLISM,0.14195049864950662,2.4482487600275724e-23,3.998480738164657e-23,0.18553414643919472,0.1709581489835729,1.085260618123693,1.0813098690121777e-22,True,0.14195049864950662
Reactome_REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,0.13987426883489587,1.061837868252386e-22,1.6853711968186267e-22,0.2273241441129827,0.21203460534907595,1.0721086953647747,4.502192561390116e-22,True,0.13987426883489587
Reactome_REACTOME_INOSITOL_PHOSPHATE_METABOLISM,0.1388119443359441,2.230415100990841e-22,3.4905309816993618e-22,0.1740172413722268,0.15730692500205337,1.1062274681801536,9.093230796347275e-22,True,0.1388119443359441
