gene,n_patients
CDKL2,1
AL590708.1,1
AC114763.1,1
AL359220.1,1
LINC02595,1
ARLNC1,1
LINC00471,1
RASGRF1,1
AC007389.5,1
AL024498.1,1
TAS2R4,1
MIXL1,1
AC008149.2,1
LINC01474,1
NTNG1,1
AC005498.2,1
AF127936.2,1
DACT3-AS1,1
SH2D1B,1
AL135818.2,1
LINC01605,1
AC022467.1,1
RNU6ATAC35P,1
AC093382.1,1
FZD10-AS1,1
AL359878.2,1
AL157400.3,1
AC104653.1,1
AC025287.3,1
MT-ATP8,1
AC007342.1,1
GK-IT1,1
MMP25,1
LINC01048,1
LINC01354,1
CYP2F1,1
AC007952.7,1
CXorf21,1
CYP3A5,1
FADS6,1
LRRC3-DT,1
AC079600.3,1
AP000944.7,1
AC012645.3,1
AC010680.2,1
ADRB3,1
C22orf34,1
TUBAL3,1
CCL1,1
AL353743.2,1
CAPN5,1
PHACTR1,1
ZNF528-AS1,1
CHAD,1
IGKV1-9,1
ZNF699,1
AC005021.1,1
LINC00645,1
AC012358.3,1
INCENP,1
AC010336.8,1
AL358933.1,1
MYOM1,1
Z92544.1,1
CADM3-AS1,1
IL12RB2,1
HELLPAR,1
LINC01975,1
LINC02607,1
SLC14A2-AS1,1
AC012629.2,1
MS4A15,1
MEMO1,1
LINC01215,1
LINC01976,1
CHRM3-AS2,1
HDAC2-AS2,1
HLX-AS1,1
CLDN19,1
AC008906.2,1
AL592429.2,1
AL035587.1,1
AL078604.2,1
AC068075.2,1
LINC02185,1
LINC02246,1
AL645929.2,1
AC005034.4,1
LINC02236,1
TEX46,1
AC105020.5,1
LRRIQ1,1
LINC00299,1
AC008083.3,1
PDE1C,1
AL512283.1,1
LINC00310,1
FBXL19-AS1,1
AC108134.2,1
AC087289.2,1
AL356776.2,1
AC244517.11,1
MIR202HG,1
AC005253.1,1
TMEM151A,1
CFP,1
AL033523.1,1
ELOVL3,1
IGF2-AS,1
CRYBB1,1
AC019077.1,1
LINC01523,1
AL121890.5,1
ARAP1-AS1,1
AC018557.2,1
AC021086.1,1
KLRF1,1
AC092828.1,1
ANKRD18B,1
AC022182.1,1
AC073370.1,1
ZFPM2,1
AC012676.3,1
ERLNC1,1
AC084116.1,1
AC087752.4,1
MYH2,1
TPM1-AS,1
MTRNR2L12,1
AC005632.6,1
TRHDE-AS1,1
KCNIP2-AS1,1
TENM4,1
REELD1,1
MMP10,1
GNG4,1
AC012636.1,1
SLC7A4,1
AC015819.2,1
AC024230.1,1
NCCRP1,1
HIST1H2BL,1
AC091180.3,1
AC015911.6,1
AC069224.1,1
AL135791.1,1
AC091062.1,1
SEMA3F-AS1,1
AL031668.2,1
STEAP1B,1
CCDC84-DT,1
AC004923.4,1
KCNIP2,1
AC093010.2,1
AC005332.1,1
CCDC87,1
Z69706.1,1
OR3A1,1
KCTD8,1
OR7G2,1
GRM6,1
TAAR9,1
SLC29A4,1
OR5BS1P,1
POU3F3,1
LCE1A,1
ZNF429,1
THSD7B,1
PRDM14,1
SIGLECL1,1
ST6GALNAC1,1
GALP,1
SEBOX,1
DEFA5,1
OR8D4,1
ODAM,1
ALKAL1,1
C4orf17,1
LHFPL3,1
GGTLC1,1
TFF3,1
SAMD7,1
CSPG5,1
DOCK3,1
SPINK6,1
KRT83,1
ADCY1,1
OR52A1,1
ADAM7,1
LDHD,1
SCGB2B2,1
PELI2,1
XKR7,1
C11orf53,1
GPR101,1
SSTR4,1
LY6G6E,1
SLC45A3,1
GSG1,1
BRDT,1
KCNK18,1
HR,1
GUCY1A2,1
IL17F,1
DTNA,1
STRIT1,1
IFNA6,1
VTN,1
ARGFX,1
NKX6-2,1
THEM5,1
LCT,1
P3H3,1
HDGFL1,1
NANOGP8,1
BSX,1
SPANXB1,1
RIT2,1
B4GALNT2,1
ENPP7,1
KRTAP5-7,1
DNAJB8,1
PRR23C,1
EFEMP2,1
OR3A3,1
RNF17,1
ZNF804B,1
FBXO40,1
OMP,1
LTC4S,1
THBS2,1
ZNF575,1
CST8,1
SPON2,1
OR11H4,1
PLA2G4E,1
KRTAP23-1,1
KIR2DL4,1
INHA,1
C17orf78,1
TRH,1
C11orf97,1
ABCG5,1
SCN1B,1
PNPLA1,1
GPR83,1
BMPR1B,1
CACNG6,1
FOXE3,1
FGF20,1
TECRL,1
PROCR,1
DACT1,1
LHX8,1
FAM186A,1
PIRT,1
CLC,1
NAA11,1
LPAR5,1
AHNAK2,1
OR1E1,1
HTRA1,1
CLEC12B,1
TEX51,1
GRID2IP,1
DRD4,1
DRC7,1
VWC2,1
IZUMO3,1
PF4,1
PRRG1,1
S100A9,1
SPATA9,1
PLPP4,1
FRMPD4,1
NDST3,1
NXPH1,1
ONECUT3,1
C13orf42,1
HAVCR1,1
CCDC73,1
TRIM75P,1
COL13A1,1
TAS2R7,1
OR13C2,1
TTC9B,1
COL8A1,1
SERPINB4,1
ABCB4,1
CP,1
SCUBE3,1
KRBOX1,1
SCG3,1
RASA4B,1
MT1E,1
NLRP10,1
COX7B2,1
KRT32,1
CAVIN1,1
NR0B2,1
CDX1,1
TSPAN16,1
C1QTNF9,1
MAB21L2,1
NPPA,1
MAP3K19,1
OR4C5,1
SOX14,1
OR2T11,1
GABRB3,1
VGLL2,1
CHRM2,1
FAM20C,1
NXPH2,1
CLRN1,1
OR10A4,1
CLEC18A,1
TXNDC8,1
DSG4,1
ANO4,1
CETN1,1
TUBA3C,1
UGT1A8,1
PTPRG,1
VWA5B2,1
POU1F1,1
GP6,1
TEX13B,1
KRTAP10-2,1
PRPS1L1,1
PRR20G,1
PNMA6F,1
SLC1A6,1
C20orf204,1
CD300LB,1
NXPE2,1
TNFSF9,1
OR6X1,1
TEX15,1
C19orf84,1
CDH20,1
CRISPLD2,1
FAM237B,1
SLC6A1,1
PPP3R2,1
ABHD12B,1
ZAR1L,1
PPP1R32,1
CD300E,1
OR5B3,1
COL10A1,1
OR2Z1,1
STON1,1
MORC1,1
CDRT1,1
MATN1,1
ALLC,1
OR4A5,1
ZIC4,1
ARSF,1
AC008397.1,1
AGBL1,1
TNFSF4,1
IQCF5,1
CSMD3,1
ECM2,1
CYP2C8,1
SPOCK1,1
SLC17A6,1
RESP18,1
ZNRF4,1
FANCD2OS,1
MYL1,1
CREB3L3,1
AC025287.4,1
ELOVL2,1
TDRD15,1
HPD,1
TAAR8,1
OR51E1,1
ELOVL4,1
SPATA3,1
TBX4,1
ABHD1,1
OR6N2,1
PTPN21,1
HCAR3,1
COL20A1,1
RP1L1,1
OR4K1,1
SYT4,1
C19orf85,1
OR11G2,1
CA2,1
GGT1,1
LINC02280,1
SCARF2,1
C22orf42,1
TBX15,1
IGLL1,1
MCHR2,1
DMBT1,1
TECTA,1
PNMA6A,1
CBARP,1
MXRA8,1
IL36RN,1
RADIL,1
OPN1SW,1
LLCFC1,1
HIST1H4B,1
KDM4F,1
OR10A6,1
OR14C36,1
S100P,1
KIRREL3,1
MRGPRX2,1
LRRC32,1
C7orf61,1
BACE1,1
ECM1,1
GPR4,1
ADGRD2,1
PHOX2A,1
SFTA2,1
KRT27,1
SLC38A4,1
MFAP5,1
ENTPD3,1
A1CF,1
RAB41,1
LIPC,1
SYNPR,1
SALL1,1
NRN1L,1
RFESD,1
CLCA2,1
GLYATL1,1
RIPPLY1,1
INSL6,1
LCE3A,1
CALHM3,1
WNT2B,1
IL23R,1
PRR18,1
OR5H2,1
MYPN,1
ANGPTL3,1
FLG,1
CLEC4G,1
OR10K1,1
MINAR2,1
PON1,1
MAGEA11,1
CCDC187,1
PCDHA10,1
PABPC3,1
HMGCLL1,1
ADAMTS4,1
GYS2,1
NR1I3,1
PRSS16,1
KCNT2,1
SPATA46,1
PPP1R3A,1
LRRC30,1
PDGFA,1
GCM2,1
PRAMEF8,1
KCNIP3,1
FRG2,1
SERPINA6,1
ADAT3,1
LGR5,1
RS1,1
TMEM88,1
TMEM211,1
GAD1,1
KRTAP13-2,1
OR4S1,1
CFAP73,1
TMEM252,1
CTRL,1
MUC20,1
HIST1H3G,1
EBF2,1
NT5C1B,1
MFSD2B,1
AGR3,1
PRDM13,1
FAM189A2,1
MAB21L3,1
OR7A5,1
CA6,1
C8orf48,1
UGT3A1,1
OR14K1,1
FCGBP,1
OLIG2,1
OR13C4,1
HIST1H3E,1
CD248,1
TBC1D3E,1
OR5P2,1
BMP1,1
NRG4,1
GGT2,1
PTGDR2,1
PPDPFL,1
AQP6,1
OR10G3,1
CEACAM20,1
OR56B4,1
LINC02218,1
KRTAP21-2,1
HEYL,1
SERPINA9,1
SYT5,1
KCNK1,1
AIPL1,1
NOS1,1
SLC39A12,1
CLCA1,1
MYOD1,1
DCAF12L1,1
SFTPA1,1
IFNA1,1
GPHB5,1
HOXB9,1
CRISP2,1
HES4,1
OR5M8,1
CD5L,1
NGF,1
LCAT,1
OR10G7,1
GABRR3,1
HEATR9,1
NTM,1
CACNA2D1,1
TRIM71,1
DGAT2L6,1
NEUROD1,1
RNASE3,1
ATP5MGL,1
NPY5R,1
SLC22A9,1
CREB3L1,1
SOX30,1
KRTAP4-6,1
MUC17,1
SLC30A8,1
TTC39A,1
DUPD1,1
PKIB,1
ODF1,1
OR5AC2,1
APOA2,1
GUCA2B,1
HIST1H2AA,1
KRT35,1
OPRM1,1
OR5M9,1
ASPN,1
C4orf51,1
BEGAIN,1
LRAT,1
WNT8A,1
COL12A1,1
HSD17B13,1
PRICKLE1,1
AMELX,1
NDST4,1
TSKS,1
CLEC18C,1
MC4R,1
OR52J3,1
AC072022.2,1
ELMOD1,1
MYOM2,1
SH2D7,1
PM20D1,1
SLIT3,1
MC5R,1
SLC46A2,1
CPNE6,1
TMOD4,1
PCDHA2,1
TREML4,1
TRIM10,1
AKAIN1,1
MAP1LC3C,1
GK2,1
CRB1,1
OR2A12,1
OR5L1,1
UGT2B11,1
PNPLA5,1
P2RX6,1
CACNB2,1
RASD1,1
CCDC116,1
CDH17,1
NLRP5,1
BRINP3,1
DHRS2,1
USP17L3,1
GSTM3,1
GATA2,1
CTNNA3,1
PPEF2,1
OR10AG1,1
ARG1,1
OR14J1,1
KRTAP26-1,1
PPM1N,1
BCL2L10,1
DENND2A,1
DLX1,1
SHH,1
NKX2-1,1
GFRAL,1
TMEM235,1
KRTAP10-3,1
FSIP1,1
SLN,1
CDHR2,1
PNMA6E,1
INSM1,1
OR2Y1,1
STATH,1
SFTPC,1
TM4SF20,1
FPR2,1
TENM3,1
ADRA1B,1
CXCL1,1
AL157395.1,1
CDH22,1
AL109741.1,1
TREH,1
AC034102.5,1
AL359762.1,1
AC244502.1,1
LRRC4C,1
LINC01133,1
HOXC8,1
AC090970.2,1
LINC01873,1
AC026803.1,1
AL109613.1,1
AL021707.1,1
INHBA,1
TUBB6,1
DTX1,1
NPS,1
DIRAS2,1
AGR2,1
OR2A2,1
TAF11L6,1
FGF14,1
VPREB1,1
AC090136.3,1
TSPAN2,1
PRKD1,1
ANKRD53,1
CEP85L,1
AC069234.5,1
AC007881.3,1
AC117503.1,1
AC119427.1,1
AC113167.1,1
KCNG3,1
AC018755.4,1
NBPF10,1
MPZ,1
AP002761.1,1
HPDL,1
HCFC1-AS1,1
FAM225B,1
LINC01618,1
MIR193BHG,1
AL121658.1,1
AC090559.2,1
DNAJC4,1
CA3,1
AC092745.5,1
AC027319.1,1
FLG-AS1,1
AC068792.1,1
AC007292.1,1
IDI2-AS1,1
MYBPC1,1
B3GNT7,1
OR5M1,1
OR2K2,1
ZPLD1,1
SSC5D,1
LDHAL6A,1
CELF5,1
SCRT1,1
NEUROD6,1
PLD5,1
DDX53,1
DNTT,1
SELENOV,1
USP17L2,1
OTOGL,1
AICDA,1
MSC,1
ATP2B3,1
SAG,1
OR51A7,1
RTP1,1
BX276092.9,1
SLC39A6,1
ACADL,1
NUTM1,1
MGAT4D,1
PROP1,1
FAM209B,1
GPR152,1
PDGFD,1
TRIM43,1
WSCD2,1
FZD8,1
EFCAB1,1
OR52W1,1
ANHX,1
DEFB134,1
KCTD4,1
LMCD1,1
CLDN10,1
BMP5,1
OR51D1,1
UGT1A3,1
NXPH4,1
OR2T34,1
NR4A1,1
PDE6A,1
OR10C1,1
OLFM3,1
OR6C76,1
OR9K2,1
TRHDE,1
SCYGR4,1
AL121578.2,1
CDH10,1
CDC20B,1
OR52M1,1
GAST,1
KRTAP20-3,1
SERF1B,1
PSCA,1
IGHV5-51,1
NRSN1,1
DCXR-DT,1
COLGALT2,1
CST2,1
AC090772.3,1
PCOLCE-AS1,1
BVES,1
ZNF439,1
AC060766.4,1
AC114810.1,1
ASB2,1
ESPNL,1
AC016583.2,1
AC027607.1,1
AC068189.1,1
AC012236.1,1
CLVS1,1
AC016571.1,1
MSANTD4,1
AP000255.1,1
TRIM54,1
AC008569.1,1
AC016831.5,1
MIR181A1HG,1
AC090844.2,1
AC133785.1,1
ZNF208,1
AL360012.1,1
LINC02147,1
AL080317.2,1
ZNF350-AS1,1
OR2A1-AS1,1
PAX8-AS1,1
TERC,1
HAGLROS,1
AC008957.1,1
IGHV4-39,1
LINC00402,1
AC245014.3,1
AC127024.2,1
LINC00243,1
AFP,1
BACH1-IT1,1
LINC02446,1
AC009093.2,1
HLA-G,1
AC008555.1,1
POU5F2,1
LHX1-DT,1
LINC02397,1
AC024075.1,1
AC008115.4,1
CASC8,1
WNT6,1
ARSD-AS1,1
AC007780.1,1
AC013264.1,1
AC023310.4,1
AC092794.1,1
AL583785.1,1
IGHV3-30,1
AC073114.1,1
ZNF676,1
AC005498.3,1
AP002761.3,1
LINC00618,1
LINC01693,1
LINC01962,1
LINC00877,1
KF456478.1,1
AC018529.1,1
NPR2,1
FRZB,1
LINCADL,1
LINC00642,1
MCM3AP-AS1,1
AC006480.2,1
F2RL1,1
KRT38,1
EIF3C,1
AC100830.1,1
OSMR-AS1,1
PRSS3,1
AC005225.2,1
AP001469.3,1
AD000090.1,1
COL26A1,1
HBD,1
AL049597.2,1
AC006273.1,1
GLIS2-AS1,1
AC009831.3,1
AC104248.1,1
KIAA1211,1
ASPA,1
AC010247.2,1
AC117382.2,1
AC243960.1,1
SESN3,1
CDH19,1
AC020661.1,1
AP003120.1,1
LINC02574,1
LINC01876,1
CCDC142,1
ZIK1,1
LINC02585,1
XCL2,1
PCDHGB7,1
POU3F2,1
GOLGA6L4,1
AL355916.1,1
CLDN11,1
JAG1,1
PHOSPHO1,1
ECEL1,1
CCL27,1
VNN3,1
SGCZ,1
FTHL17,1
ZFP42,1
NPBWR1,1
KRTAP22-1,1
FRMD5,1
ACBD7,1
GKN1,1
KRTAP10-8,1
OR9G1,1
CDH12,1
ELOA3,1
BTNL8,1
MYH8,1
C19orf67,1
MC1R,1
APCDD1,1
OR4C13,1
CPB2,1
DUXA,1
LPO,1
PGK2,1
MLN,1
WFDC5,1
DMBX1,1
HOXA13,1
OR51B6,1
OR7A10,1
OR6C75,1
KLHDC8A,1
PTHLH,1
OR14A2,1
MIR1915HG,1
PKDREJ,1
CCN2,1
NLRP12,1
CTF1,1
OR51T1,1
MYF5,1
ATP1A4,1
DLX2,1
SYN3,1
INSL4,1
OR6B2,1
C9orf129,1
FERD3L,1
ZCCHC12,1
USP17L15,1
KRTAP3-2,1
ANKS6,1
ADAM18,1
MAGEB18,1
UNC45B,1
GC,1
AFAP1L1,1
SPACA1,1
NKAIN3,1
KIAA2012,1
IGFBP5,1
APCS,1
CD200R1L,1
CYB5A,1
SULF1,1
TEX37,1
ANGPTL2,1
COL16A1,1
CREG2,1
PTH,1
TBXAS1,1
FOXR1,1
CAMKV,1
DEFB112,1
CT83,1
OR13C3,1
OR5D18,1
TMEM89,1
OR4C12,1
IFNA4,1
KCNE3,1
PATE4,1
NCAN,1
NGB,1
FAM189A1,1
C2orf80,1
EPDR1,1
WDR49,1
PRR16,1
OR4C15,1
SEZ6,1
TTC24,1
PLAT,1
PRAC2,1
ANKRD30B,1
SLITRK5,1
OXT,1
ADAMTSL3,1
CEACAM3,1
C1QTNF8,1
OR13F1,1
OR4A15,1
TBR1,1
ASPDH,1
TECTB,1
ANKRD1,1
CXADR,1
OR10A3,1
UNC13A,1
KLK12,1
DIPK1C,1
MYF6,1
OR5R1,1
SPATA16,1
LGALS14,1
AWAT1,1
OR4C3,1
ASB5,1
IVL,1
GALNTL5,1
NKPD1,1
SCD,1
AHSG,1
CALCA,1
DYNAP,1
LCE3D,1
IL11,1
EDDM13,1
OR5V1,1
PAGE4,1
OR5A2,1
OR10W1,1
OR2C1,1
TMEM225B,1
TCHHL1,1
PCDHGA1,1
ULBP2,1
AGXT2,1
COPZ2,1
KRT222,1
LRRC53,1
RTL3,1
CPS1,1
SYCN,1
OR1M1,1
AARD,1
DAAM2,1
ITGB3,1
ACKR4,1
GRIN2B,1
BARHL1,1
C6orf118,1
BHLHA9,1
TMEM212,1
LY6L,1
EGFLAM,1
RGS4,1
ZIC2,1
HAO2,1
ACSM2B,1
TCP10L2,1
AL845331.2,1
HCRTR1,1
MT1M,1
ANKRD33,1
PRR23A,1
MYL2,1
PKD1L3,1
ZNF154,1
H3F3C,1
OR4L1,1
CPT1C,1
RD3,1
PCDHA8,1
DBX2,1
ANKRD2,1
KCNB2,1
EPS8L3,1
PRR30,1
OR10AD1,1
GLRA2,1
SLC18A3,1
GRXCR1,1
SLC34A3,1
TAF1L,1
AC067752.1,1
IQCF2,1
NRG3,1
SERPINB10,1
KRTAP6-3,1
KRTAP5-6,1
PIK3C2G,1
DCAF8L1,1
CALCR,1
SERPINB13,1
OR4D11,1
CHRNA2,1
CACNG4,1
PCDHB9,1
ASPHD1,1
CNTNAP4,1
SPRED3,1
ADAMTSL2,1
TBC1D3B,1
AMBN,1
PCDHA1,1
C9orf57,1
POM121L12,1
HSD17B2,1
PRSS53,1
NXPE1,1
OR2F1,1
CLEC11A,1
CLEC20A,1
TMEM88B,1
ZNF99,1
ALDH1A2,1
PVRIG,1
OCSTAMP,1
EHD2,1
C17orf50,1
FBN3,1
TEX26,1
KRT77,1
PDZD3,1
OR2M3,1
KCNE5,1
AKR1B15,1
TMEM151B,1
MAGEA9B,1
OR5B2,1
OXCT2,1
PIWIL2,1
KRTAP10-10,1
A4GNT,1
SPATA31A5,1
NWD2,1
HCN1,1
AC092835.1,1
NLRC4,1
AKAP6,1
KCNA10,1
MYLK4,1
ERICH6B,1
GLDC,1
ATP8B3,1
LGALS4,1
DACT2,1
RAD9B,1
SYT13,1
RGS20,1
TLDC2,1
HSD11B1,1
TRPC5OS,1
OR10H3,1
CFTR,1
BRINP1,1
C2orf83,1
BEST4,1
PIWIL3,1
INA,1
ZNF474,1
KCNH1,1
LINC02694,1
RAG2,1
VEGFD,1
KRBA2,1
ST8SIA3,1
IGSF11,1
WT1,1
UGT3A2,1
OR2T10,1
DAW1,1
HMGCS2,1
MRAP2,1
NANOS2,1
SLC10A2,1
TRBV6-2,1
OR1S1,1
BTN1A1,1
TXNRD3,1
SDR9C7,1
ZSCAN5B,1
HRH3,1
IL17C,1
TDRD1,1
CADM2,1
CRYGC,1
SUN3,1
TRAJ9,1
OR8S1,1
GRIK2,1
APOC3,1
NR1H4,1
MFRP,1
UCP1,1
C9orf135,1
PFN3,1
SERPIND1,1
VRTN,1
TRDN,1
SGCD,1
TRBV11-3,1
RPRML,1
ARHGAP19,1
IL2,1
CHST8,1
TRAJ35,1
TSPYL5,1
RANBP3L,1
CLDN2,1
PRSS51,1
TRAJ12,1
C16orf86,1
SPATS1,1
SEC14L5,1
ZNF215,1
TRIM51GP,1
C2orf91,1
KCTD19,1
KATNAL2,1
GPA33,1
HRK,1
KRT71,1
GJE1,1
ASIP,1
IGHV5-10-1,1
PDZK1,1
KCNJ16,1
LRRTM1,1
OR8J3,1
RETREG1,1
PTCRA,1
OSM,1
CCDC15,1
RIMS4,1
USH1G,1
KRT2,1
STPG3,1
EXOC1L,1
MAS1,1
KAZALD1,1
GPR19,1
DLGAP3,1
TRAJ6,1
EBI3,1
DEFB110,1
CCL7,1
CA7,1
RFX2,1
DUSP26,1
SLC25A27,1
PRSS41,1
TRAJ57,1
PTPRQ,1
SLC18A1,1
LRRC74A,1
KRTAP21-3,1
TDGF1,1
BEX5,1
MYH1,1
NTS,1
KRT13,1
ADGRE3,1
NLRP14,1
TIGD3,1
SLC14A1,1
OR5B17,1
PRELID3A,1
RFPL4A,1
PKLR,1
MAGEA1,1
FZD9,1
RD3L,1
PYGO1,1
FAM135B,1
OR2G3,1
C22orf15,1
OR1L6,1
HNF4G,1
TRAV27,1
TAF7L,1
RGS8,1
CLDN23,1
EYA1,1
IFNW1,1
LRRC7,1
GFY,1
TRAJ24,1
TRBV14,1
CRLF1,1
SLC22A16,1
THEM4,1
GRM2,1
ESYT3,1
SRRM3,1
OR52I2,1
RSPO2,1
TNFRSF17,1
C20orf173,1
TRPM8,1
ZNF90,1
ADGRB3,1
SLC30A2,1
ACSBG2,1
RSPH14,1
PBOV1,1
OR10H4,1
TKTL2,1
PRDM6,1
GRM5,1
AC013470.2,1
RTL9,1
MOBP,1
MPP2,1
SORCS1,1
PRAMEF17,1
KCNK10,1
SCGN,1
OR10J1,1
SPINK5,1
TRAV13-1,1
PLA2G4A,1
IGHV6-1,1
OR6K6,1
PRKG2,1
KBTBD11,1
SPEGNB,1
SYT3,1
GMNC,1
TREM2,1
LRRC19,1
MEPE,1
ACOX2,1
CFHR2,1
C6orf223,1
CYP19A1,1
LIPT2,1
TRAV17,1
SLC36A2,1
MT3,1
KCNK3,1
MMP13,1
TRIM55,1
BAAT,1
OR52I1,1
TRAJ47,1
ZSWIM2,1
BSPH1,1
PDIA2,1
MYSM1,1
LOR,1
GNRH2,1
SPATA22,1
CLDN17,1
EML6,1
SNTG2,1
ASXL3,1
IGFL3,1
RNF225,1
SLC22A6,1
XAGE5,1
CBLIF,1
PALM,1
CER1,1
OR51F1,1
ROBO2,1
EPYC,1
OR10T2,1
FGL1,1
OR4K13,1
MT1A,1
GABRG2,1
PROB1,1
TSPAN12,1
OR1Q1,1
UBE2U,1
TRAJ20,1
TAF11L11,1
KCNH2,1
F9,1
MEGF11,1
ABCA12,1
FAM9B,1
KCNIP4,1
BCL2L15,1
CDSN,1
UGT1A4,1
MAGEC2,1
MCEMP1,1
SP5,1
CDK5R1,1
MAGEB16,1
FAM170B,1
STOX1,1
LRRD1,1
KRTAP19-7,1
MS4A13,1
OR8D2,1
IGLV4-60,1
B3GNT4,1
TF,1
AC090018.2,1
FSIP2,1
LIPF,1
SLC4A1,1
RAD51AP2,1
FAM43B,1
PIP,1
RHEX,1
KIAA1549L,1
TRAV12-2,1
TRPV5,1
MROH8,1
UCN2,1
ELSPBP1,1
MT1G,1
DOC2A,1
SPEM3,1
GPR17,1
ECE2,1
CACNA1G,1
TRBV10-3,1
F13B,1
TRBV10-2,1
FGA,1
CCL18,1
SPINK2,1
TRAV21,1
FAM240A,1
MUC4,1
ZAR1,1
MUC12,1
OR4C6,1
F8A1,1
ARL9,1
MS4A18,1
SLC8A2,1
ADH6,1
IGHV4-59,1
C12orf42,1
LIPM,1
CXCL6,1
AC008147.2,1
TAS2R42,1
C10orf55,1
IGLV2-8,1
HAR1A,1
ORM1,1
SMIM41,1
DIRC1,1
LINC01285,1
MLC1,1
FBXO27,1
SCARNA9,1
CPM,1
NMU,1
IL4,1
C2orf92,1
NTN3,1
TMEM154,1
TEX35,1
TENM2,1
KRT84,1
CCDC177,1
LINC02086,1
ASIC4,1
AL133227.1,1
AL117350.1,1
C21orf62,1
NUPR2,1
PRSS37,1
TEKT4,1
CA4,1
MPIG6B,1
PPP4R3C,1
CYP4F22,1
OR9A4,1
DMRT1,1
IL36B,1
KLK2,1
AL021155.5,1
GCSH,1
AC096564.2,1
AL138927.1,1
SLC17A1,1
AL157938.3,1
PSG9,1
AC091488.1,1
WIF1,1
SLC26A9,1
SCNN1D,1
TRAV30,1
NAT8L,1
TCTE3,1
MYLK3,1
TMC2,1
LRRC14B,1
GPR22,1
WDR63,1
WNK3,1
SMPX,1
SORBS1,1
LHX2,1
ERICH5,1
TEKT3,1
FIGN,1
C1orf167,1
SIMC1,1
EZHIP,1
CDX4,1
TICAM2,1
TSPO2,1
WEE2,1
ERICH6,1
GPAT2,1
BRSK2,1
CCDC182,1
SH3TC2,1
TMPRSS11E,1
GJB6,1
C11orf16,1
OR2A5,1
KRTDAP,1
PANX3,1
TH,1
C1QTNF9B,1
LRRC9,1
SRRM4,1
ERVMER34-1,1
ESR2,1
KERA,1
OR8G5,1
DEFB113,1
OR1L4,1
RGS21,1
SLC22A12,1
LYG2,1
TMPRSS9,1
ELAVL2,1
EPHB1,1
SHCBP1L,1
TRDV2,1
TEX44,1
NCF1,1
KRTAP10-7,1
CAPZA3,1
OR4F21,1
TCERG1L,1
ZPBP2,1
INSYN2B,1
OR4M1,1
PADI4,1
TRAJ49,1
CYP8B1,1
DPF3,1
ABCD2,1
HLA-A,1
DEFB128,1
SP7,1
CTSE,1
OR6V1,1
EML1,1
SLC16A10,1
MAGEE1,1
OR1B1,1
PMCH,1
ANKRD40CL,1
KLK3,1
STAR,1
GIP,1
HSFX3,1
DUSP13,1
OR14A16,1
C10orf67,1
OR10G9,1
FAM205C,1
AQP12A,1
LHX1,1
HEMGN,1
PFDN4,1
CLLU1OS,1
ENKUR,1
KRTAP27-1,1
POU5F1B,1
ZNF300,1
IGHV1-58,1
PHF7,1
ZNF334,1
AANAT,1
TRIM67,1
NPFFR1,1
ANXA10,1
S100A7,1
PABPN1L,1
TTBK1,1
ACOXL,1
GOT1L1,1
AMN1,1
GUCA2A,1
HOXA1,1
SPRR2A,1
GPR45,1
VMO1,1
NFE4,1
GLT6D1,1
SPATA1,1
COL9A1,1
OR6C3,1
TEX55,1
MCMDC2,1
OMG,1
OR8B8,1
TGM7,1
UGT2B7,1
PTPRO,1
IGHV1-46,1
MAT1A,1
GNRHR,1
HJV,1
IGHG4,1
FANCB,1
IL26,1
OCM,1
SPOCD1,1
TAF11L2,1
PEBP4,1
PSMB11,1
IGLJ5,1
CYP3A4,1
CCL15,1
TAS1R2,1
FGF21,1
FNDC8,1
SDS,1
SOHLH2,1
PAGE3,1
GCGR,1
SLC25A48,1
KRTAP20-2,1
OR2H1,1
KRTAP4-8,1
TAS2R46,1
SPACA4,1
EEF1A2,1
ERVFRD-1,1
CAPN13,1
TCL1B,1
LY6G6F,1
CRP,1
KBTBD6,1
MYH15,1
ANKRD34A,1
BPIFC,1
UNC5D,1
TCF21,1
LHX4,1
ERC2,1
TEX43,1
RPE65,1
ZFP92,1
OR9Q1,1
CLEC2A,1
TRAJ59,1
CDKL4,1
OR6C4,1
CALY,1
SLC4A10,1
ARX,1
OR2D3,1
ZNF536,1
OR2AG1,1
DPEP2NB,1
ISL1,1
CNTD2,1
PLIN5,1
C1QTNF4,1
HCN2,1
ALK,1
NOX3,1
ADCY10,1
NDP,1
ACOD1,1
SLC26A5,1
NLGN3,1
ZFR2,1
MEGF10,1
KLF14,1
TSBP1,1
TEDDM1,1
CCDC54,1
CAPN11,1
TULP2,1
SPANXD,1
IGKV5-2,1
TRAV19,1
TRBV18,1
PHF5A,1
HIST3H3,1
TNP2,1
RPH3A,1
TM4SF4,1
ATG9B,1
FAM166B,1
GREB1L,1
FAM163B,1
OR8B12,1
CASP5,1
OR1S2,1
MC3R,1
SKA1,1
ADGRF2,1
SLC25A2,1
CYP3A43,1
OR6A2,1
OR4D2,1
ASIC5,1
DDC,1
TFF2,1
CYLC1,1
PURG,1
TRAJ50,1
KCNU1,1
HSPB3,1
TOP2A,1
RNF39,1
MRLN,1
TRBV19,1
CCDC38,1
ANKLE1,1
ZNF568,1
OR6B1,1
CCDC170,1
IGFL2,1
MTUS2,1
UNC80,1
SPO11,1
ZG16,1
ZNF878,1
